Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-03-01,16:00:00,2381.46,2386.13,2381.46,2385.91,0,0
2017-03-01,17:00:00,2386.53,2389.69,2385.97,2388.95,0,0
2017-03-01,18:00:00,2388.96,2394.18,2388.4,2393.15,0,0
2017-03-01,19:00:00,2393.18,2398.59,2393.18,2396.12,0,0
2017-03-01,20:00:00,2396.17,2397.46,2395.54,2396.81,0,0
2017-03-01,21:00:00,2396.85,2400.97,2395.71,2400.57,0,0
2017-03-01,22:00:00,2400.55,2400.55,2395.1,2395.96,0,0
2017-03-02,16:00:00,2394.33,2394.33,2389.06,2392.01,0,0
2017-03-02,17:00:00,2392.02,2392.02,2388.09,2388.6,0,0
2017-03-02,18:00:00,2388.65,2388.65,2383.73,2387.47,0,0
2017-03-02,19:00:00,2387.51,2387.59,2384.25,2386.5,0,0
2017-03-02,20:00:00,2386.38,2387.2,2385.07,2386.15,0,0
2017-03-02,21:00:00,2386.16,2388.59,2384.46,2387.49,0,0
2017-03-02,22:00:00,2387.46,2387.46,2380.17,2381.92,0,0
2017-03-03,16:00:00,2380.12,2382.39,2378.62,2378.62,0,0
2017-03-03,17:00:00,2378.54,2380.91,2375.44,2377.03,0,0
2017-03-03,18:00:00,2376.67,2378.8,2376.02,2378.58,0,0
2017-03-03,19:00:00,2378.56,2380.86,2377.6,2379.98,0,0
2017-03-03,20:00:00,2379.84,2381.57,2377.33,2380.67,0,0
2017-03-03,21:00:00,2380.66,2382.11,2379.52,2381.75,0,0
2017-03-03,22:00:00,2381.65,2383.89,2380.39,2383.12,0,0
2017-03-06,16:00:00,2374.08,2374.08,2369.7,2373.68,0,0
2017-03-06,17:00:00,2373.56,2374.06,2368.3,2368.98,0,0
2017-03-06,18:00:00,2369.04,2371.3,2367.99,2369.7,0,0
2017-03-06,19:00:00,2369.45,2373.13,2369.18,2372.97,0,0
2017-03-06,20:00:00,2373.01,2377.17,2372.98,2375.7,0,0
2017-03-06,21:00:00,2375.72,2376.15,2375.06,2375.53,0,0
2017-03-06,22:00:00,2375.86,2378.7,2375.04,2375.31,0,0
2017-03-07,16:00:00,2370.69,2371.59,2367.15,2369.59,0,0
2017-03-07,17:00:00,2369.44,2375.09,2369.12,2372.51,0,0
2017-03-07,18:00:00,2372.47,2373.13,2368.08,2370.16,0,0
2017-03-07,19:00:00,2370.08,2370.96,2368.21,2370.92,0,0
2017-03-07,20:00:00,2370.95,2372.39,2369.36,2369.55,0,0
2017-03-07,21:00:00,2369.42,2372.05,2369.18,2371.63,0,0
2017-03-07,22:00:00,2371.59,2372.07,2365.51,2368.39,0,0
2017-03-08,16:00:00,2369.71,2373.07,2368.62,2370.78,0,0
2017-03-08,17:00:00,2370.94,2372.06,2367.68,2371.19,0,0
2017-03-08,18:00:00,2371.12,2372.25,2365.81,2367.37,0,0
2017-03-08,19:00:00,2367.15,2369.51,2366.66,2368.99,0,0
2017-03-08,20:00:00,2368.75,2371.75,2368.64,2369.99,0,0
2017-03-08,21:00:00,2370.01,2370.17,2364.2,2367.25,0,0
2017-03-08,22:00:00,2367.43,2368.18,2361.04,2362.98,0,0
2017-03-09,16:00:00,2363.68,2367.07,2361.83,2365.57,0,0
2017-03-09,17:00:00,2365.62,2369.08,2364.11,2365.86,0,0
2017-03-09,18:00:00,2366.3,2367.62,2364.48,2365.82,0,0
2017-03-09,19:00:00,2365.8,2366.83,2364.09,2365.48,0,0
2017-03-09,20:00:00,2365.52,2366.38,2361.32,2361.6,0,0
2017-03-09,21:00:00,2361.65,2361.97,2354.54,2359.85,0,0
2017-03-09,22:00:00,2360.04,2366.41,2360.02,2364.87,0,0
2017-03-10,16:00:00,2374.8,2376.62,2371.28,2376.22,0,0
2017-03-10,17:00:00,2376.4,2376.83,2369.06,2369.44,0,0
2017-03-10,18:00:00,2369.14,2371.92,2366.97,2370.23,0,0
2017-03-10,19:00:00,2370.24,2371.47,2365.31,2367.06,0,0
2017-03-10,20:00:00,2367.07,2368.21,2363.05,2367.98,0,0
2017-03-10,21:00:00,2368,2370.69,2366.98,2369.83,0,0
2017-03-10,22:00:00,2369.82,2373.57,2369.82,2372.6,0,0
2017-03-13,15:00:00,2371.88,2374.24,2370.76,2370.76,0,0
2017-03-13,16:00:00,2370.64,2372.7,2369.91,2371.06,0,0
2017-03-13,17:00:00,2371,2372.21,2368.52,2372.16,0,0
2017-03-13,18:00:00,2372.18,2372.81,2369.87,2371.24,0,0
2017-03-13,19:00:00,2371.22,2371.8,2369.48,2370.77,0,0
2017-03-13,20:00:00,2370.78,2372.64,2370.13,2372.64,0,0
2017-03-13,21:00:00,2372.68,2374.25,2372.01,2373.47,0,0
2017-03-14,15:00:00,2367.7,2368.22,2363.19,2364.23,0,0
2017-03-14,16:00:00,2364.04,2364.28,2358.18,2361.85,0,0
2017-03-14,17:00:00,2362.26,2366.03,2359.82,2365.53,0,0
2017-03-14,18:00:00,2365.51,2366.11,2360.42,2361.5,0,0
2017-03-14,19:00:00,2361.48,2364.72,2361.2,2363.24,0,0
2017-03-14,20:00:00,2363.23,2365.32,2362.34,2363.62,0,0
2017-03-14,21:00:00,2363.64,2366.29,2363.49,2365.45,0,0
